NC_000001.11,11874,14409,DDX11L1,plus,100287102,DEAD/H-box helicase 11 like 1 (pseudogene)
NC_000001.11,14362,29370,WASH7P,minus,653635,"WASP family homolog 7, pseudogene"
NC_000001.11,17369,17436,MIR6859-1,minus,102466751,microRNA 6859-1
NC_000001.11,29774,35418,MIR1302-2HG,plus,107985730,MIR1302-2 host gene
NC_000001.11,30366,30503,MIR1302-2,plus,100302278,microRNA 1302-2
NC_000001.11,34611,36081,FAM138A,minus,645520,family with sequence similarity 138 member A
NC_000001.11,52453,53396,OR4G4P,plus,79504,olfactory receptor family 4 subfamily G member 4 pseudogene
NC_000001.11,63016,63885,OR4G11P,plus,403263,olfactory receptor family 4 subfamily G member 11 pseudogene
NC_000001.11,65419,71585,OR4F5,plus,79501,olfactory receptor family 4 subfamily F member 5
NC_000001.11,95222,107727,LOC124903816,plus,124903816,uncharacterized LOC124903816
NC_000001.11,120849,175246,LOC124900384,minus,124900384,uncharacterized LOC124900384
NC_000001.11,126642,129225,SEPTIN14P18,minus,107126284,septin 14 pseudogene 18
NC_000001.11,131068,134836,CICP27,plus,100420257,capicua transcriptional repressor pseudogene 27
NC_000001.11,134773,140566,LOC729737,minus,729737,uncharacterized LOC729737
NC_000001.11,157784,157887,RNU6-1100P,minus,106480049,"RNA, U6 small nuclear 1100, pseudogene"
NC_000001.11,164689,164792,GTF2IP10,plus,107403151,general transcription factor IIi pseudogene 10
NC_000001.11,177308,180105,LOC124903814,minus,124903814,uncharacterized LOC124903814
NC_000001.11,182388,184878,DDX11L17,plus,102725121,DEAD/H-box helicase 11 like 17 (pseudogene)
NC_000001.11,184916,200117,LOC100996442,minus,100996442,WAS protein family homolog 2-like
NC_000001.11,187891,187958,MIR6859-2,minus,102465909,microRNA 6859-2
NC_000001.11,258511,259036,RPL23AP21,minus,728481,ribosomal protein L23a pseudogene 21
NC_000001.11,262719,297504,LOC127239154,minus,127239154,uncharacterized LOC127239154
NC_000001.11,273223,284291,LOC124903815,plus,124903815,uncharacterized LOC124903815
NC_000001.11,347969,348441,RPL23AP24,minus,728517,ribosomal protein L23a pseudogene 24
NC_000001.11,350706,358545,LOC124900618,minus,124900618,uncharacterized LOC124900618
NC_000001.11,365134,382235,LOC112268260,minus,112268260,uncharacterized LOC112268260
NC_000001.11,439764,440270,WBP1LP7,plus,106479030,WBP1L pseudogene 7
NC_000001.11,450740,451678,OR4F29,minus,729759,olfactory receptor family 4 subfamily F member 29
NC_000001.11,484833,485210,SEPTIN14P13,minus,106481733,septin 14 pseudogene 13
NC_000001.11,487055,490819,CICP7,plus,100288667,capicua transcriptional repressor pseudogene 7
NC_000001.11,490756,495445,LOC100132287,minus,100132287,uncharacterized LOC100132287
NC_000001.11,516376,516479,LOC124904706,minus,124904706,U6 spliceosomal RNA
NC_000001.11,586287,611297,LOC105378947,minus,105378947,proline-rich extensin-like protein EPR1
NC_000001.11,627380,629009,LOC101928626,minus,101928626,uncharacterized LOC101928626
NC_000001.11,629062,629440,MTND1P23,plus,100887749,MT-ND1 pseudogene 23
NC_000001.11,629640,630686,MTND2P28,plus,100652939,MT-ND2 pseudogene 28
NC_000001.11,631074,632616,MTCO1P12,plus,107075141,MT-CO1 pseudogene 12
NC_000001.11,632615,632685,MIR12136,minus,113219467,microRNA 12136
NC_000001.11,632757,633438,MTCO2P12,plus,107075310,MT-CO2 pseudogene 12
NC_000001.11,633535,633741,MTATP8P1,plus,106480795,MT-ATP8 pseudogene 1
NC_000001.11,633696,634376,MTATP6P1,plus,106480796,MT-ATP6 pseudogene 1
NC_000001.11,634376,634922,MTCO3P12,plus,107075270,MT-CO3 pseudogene 12
NC_000001.11,674743,675246,WBP1LP6,plus,106481797,WBP1L pseudogene 6
NC_000001.11,676076,720101,OR4F16,minus,81399,olfactory receptor family 4 subfamily F member 16
NC_000001.11,717621,720202,SEPTIN14P14,minus,107105354,septin 14 pseudogene 14
NC_000001.11,722046,725822,CICP3,plus,100132630,capicua transcriptional repressor pseudogene 3
NC_000001.11,725759,778634,LOC100288069,minus,100288069,uncharacterized LOC100288069
NC_000001.11,758233,758336,RNU6-1199P,minus,106480091,"RNA, U6 small nuclear 1199, pseudogene"
NC_000001.11,778758,787675,LINC01409,plus,105378580,long intergenic non-protein coding RNA 1409
NC_000001.11,791598,799081,LOC124903817,plus,124903817,uncharacterized LOC124903817
NC_000001.11,817371,819834,FAM87B,plus,400728,family with sequence similarity 87 member B
NC_000001.11,826206,827522,LINC00115,minus,79854,long intergenic non-protein coding RNA 115
NC_000001.11,827591,859446,LINC01128,plus,643837,long intergenic non-protein coding RNA 1128
NC_000001.11,860182,868202,LOC107984850,plus,107984850,uncharacterized LOC107984850
NC_000001.11,868071,876802,FAM41C,minus,284593,family with sequence similarity 41 member C
NC_000001.11,873291,874514,TUBB8P11,plus,388579,tubulin beta 8 class VIII pseudogene 11
NC_000001.11,904811,921019,LOC284600,plus,284600,uncharacterized LOC284600
NC_000001.11,916818,919692,LINC02593,minus,100130417,long intergenic non-protein coding RNA 2593
NC_000001.11,920243,925604,LOC107985728,minus,107985728,collagen alpha-1(III) chain-like
NC_000001.11,923923,944574,SAMD11,plus,148398,sterile alpha motif domain containing 11
NC_000001.11,944203,959256,NOC2L,minus,26155,NOC2 like nucleolar associated transcriptional repressor
NC_000001.11,960584,965719,KLHL17,plus,339451,kelch like family member 17
NC_000001.11,966482,975865,PLEKHN1,plus,84069,pleckstrin homology domain containing N1
NC_000001.11,975198,982093,PERM1,minus,84808,"PPARGC1 and ESRR induced regulator, muscle 1"
NC_000001.11,998964,1000097,HES4,minus,57801,hes family bHLH transcription factor 4
NC_000001.11,1008060,1008290,RPL39P12,minus,100270829,ribosomal protein L39 pseudogene 12
NC_000001.11,1013497,1014540,ISG15,plus,9636,ISG15 ubiquitin like modifier
NC_000001.11,1020120,1056116,AGRN,plus,375790,agrin
NC_000001.11,1059734,1066453,LOC100288175,plus,100288175,uncharacterized LOC100288175
